trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,12,11.710964214357078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.01795296493950285}",20,6,25.373077058738662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.017597472415623393}",25,14,19.99702674744137,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.017249019115346265}",30,12,32.48663077626344,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.01690746565270528}",20,0,30.875213128083868,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.016572675401761255}",30,11,32.55829111849033,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.01624451444194987}",20,16,7.6895760878390575,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.015922851504511698}",20,16,8.973925192891253,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.01560755791998283}",20,14,12.124377149753988,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.015298507566725518}",25,5,18.897087666939292,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.014995576820477703}",25,8,30.329822243897066,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
